Year,Unemployment rate,FERU,Unemployment gap
1951,0.035,0.0367,-0.0017
1951.25,0.031,0.0352,-0.0042
1951.5,0.0317,0.0352,-0.0035
1951.75,0.0337,0.0363,-0.0026
1952,0.0307,0.0354,-0.0047
1952.25,0.0297,0.0337,-0.004
1952.5,0.0323,0.035,-0.0027
1952.75,0.0283,0.0345,-0.0062
1953,0.027,0.0342,-0.0072
1953.25,0.0257,0.0322,-0.0065
1953.5,0.0273,0.0307,-0.0034
1953.75,0.037,0.0317,0.0053
1954,0.0527,0.0345,0.0182
1954.25,0.058,0.0346,0.0234
1954.5,0.0597,0.0343,0.0254
1954.75,0.0533,0.0333,0.0201
1955,0.0473,0.0342,0.0132
1955.25,0.044,0.0352,0.0088
1955.5,0.041,0.0358,0.0052
1955.75,0.0423,0.0372,0.0051
1956,0.0403,0.0373,0.0031
1956.25,0.042,0.0372,0.0048
1956.5,0.0413,0.0359,0.0054
1956.75,0.0413,0.0362,0.0051
1957,0.0393,0.0351,0.0042
1957.25,0.041,0.0342,0.0068
1957.5,0.0423,0.0335,0.0088
1957.75,0.0493,0.0321,0.0173
1958,0.063,0.034,0.029
1958.25,0.0737,0.0352,0.0384
1958.5,0.0733,0.0366,0.0368
1958.75,0.0637,0.0352,0.0285
1959,0.0583,0.0364,0.022
1959.25,0.051,0.0364,0.0146
1959.5,0.0527,0.037,0.0157
1959.75,0.056,0.037,0.019
1960,0.0513,0.0395,0.0119
1960.25,0.0523,0.0383,0.0141
1960.5,0.0553,0.0378,0.0175
1960.75,0.0627,0.0382,0.0245
1961,0.068,0.0389,0.0291
1961.25,0.07,0.0404,0.0296
1961.5,0.0677,0.0413,0.0264
1961.75,0.062,0.0415,0.0205
1962,0.0563,0.0403,0.016
1962.25,0.0553,0.0401,0.0153
1962.5,0.0557,0.0395,0.0162
1962.75,0.0553,0.0387,0.0167
1963,0.0577,0.0398,0.0178
1963.25,0.0573,0.0392,0.0181
1963.5,0.055,0.0387,0.0163
1963.75,0.0557,0.0395,0.0162
1964,0.0547,0.0395,0.0151
1964.25,0.052,0.0396,0.0124
1964.5,0.05,0.0397,0.0103
1964.75,0.0497,0.0402,0.0095
1965,0.049,0.041,0.008
1965.25,0.0467,0.0412,0.0055
1965.5,0.0437,0.0409,0.0028
1965.75,0.041,0.042,-0.001
1966,0.0387,0.0423,-0.0036
